exam_1,exam_2,exam_3,attendance_rate,engagement_score,group_work_score,revision_hours,quiz_score,final_pass_score
87.19,70.33,76.09,83.53,7.06,50.74,15.37,6.0,59.5
79.19,66.9,75.52,83.05,6.27,48.46,7.32,5.0,54.03
82.12,71.19,83.2,87.96,6.14,55.58,15.66,6.0,59.51
86.6,82.25,98.97,95.03,8.36,74.63,16.01,8.0,59.85
77.24,56.87,80.47,77.13,7.11,53.28,13.0,6.0,52.21
75.78,67.83,72.9,84.97,5.5,69.05,13.16,6.0,50.35
94.51,84.4,93.79,82.66,9.53,78.87,20.0,8.0,67.35
85.96,72.23,79.57,86.09,8.11,47.73,17.55,8.0,62.51
76.81,67.85,80.81,79.23,5.65,70.06,13.82,4.0,55.94
78.31,79.17,82.18,89.79,7.34,55.58,17.09,7.0,63.44
78.15,56.12,76.15,81.31,7.52,52.17,11.31,5.0,52.79
72.76,60.49,81.81,75.58,6.83,59.71,10.68,5.0,47.71
88.14,67.36,76.67,81.51,7.1,66.62,14.82,6.0,49.76
55.47,45.46,60.06,73.32,4.31,47.71,8.02,3.0,40.51
68.81,56.5,64.73,73.33,4.79,41.31,6.08,3.0,42.73
71.89,62.51,79.94,78.31,5.72,38.65,11.28,6.0,47.54
63.76,57.75,66.33,76.0,3.9,77.49,8.88,3.0,40.97
76.51,61.64,71.03,88.67,8.81,67.63,10.89,5.0,51.32
66.29,63.45,71.39,76.48,5.83,44.17,12.37,6.0,48.6
65.33,48.79,71.61,75.17,5.42,53.27,7.9,4.0,46.74
91.7,83.6,95.79,100.0,8.51,85.73,20.0,5.0,69.82
71.21,68.24,76.45,76.95,5.94,62.6,7.42,5.0,54.76
76.49,76.73,78.86,77.0,6.73,98.4,10.87,4.0,53.17
73.46,48.3,73.93,78.59,3.81,34.5,7.8,3.0,47.42
79.39,47.99,68.44,78.02,7.97,47.07,13.1,2.0,50.23
79.09,71.04,79.28,83.39,5.95,63.41,13.29,5.0,57.68
65.82,67.14,72.13,73.97,4.59,58.81,9.29,3.0,46.76
79.96,79.11,84.61,85.21,6.9,43.04,10.42,6.0,59.16
73.54,64.23,73.46,86.79,7.11,21.51,7.42,3.0,49.62
68.47,63.6,77.95,85.46,6.46,46.82,11.9,5.0,49.58
69.35,67.33,65.53,83.84,5.09,26.47,6.92,4.0,46.05
84.66,82.0,91.26,89.45,10.0,81.41,16.28,9.0,64.21
77.79,71.35,81.71,79.31,7.37,67.34,13.16,7.0,57.73
69.59,61.32,68.14,66.3,5.96,30.77,6.47,5.0,40.75
81.08,82.53,86.41,85.7,8.36,50.94,18.32,6.0,61.93
72.57,71.45,72.63,80.5,7.25,42.73,11.27,6.0,53.19
72.0,73.08,80.2,87.32,8.8,76.07,8.86,4.0,55.3
51.33,47.25,65.98,71.36,3.9,5.18,3.88,1.0,40.02
65.12,55.92,66.19,75.94,6.51,52.38,2.53,4.0,45.18
82.8,61.72,80.65,82.43,7.34,75.21,10.71,8.0,54.86
90.73,72.59,87.98,89.25,8.09,85.39,16.05,6.0,63.67
75.34,68.54,81.91,88.09,5.65,80.85,11.52,5.0,56.24
80.14,65.15,76.79,76.84,6.52,91.3,12.76,4.0,56.45
73.11,66.86,78.64,83.39,5.79,50.14,7.44,6.0,44.84
61.86,50.31,71.77,78.86,5.69,39.47,9.48,4.0,44.17
73.76,67.81,66.4,78.02,6.79,42.96,8.51,5.0,44.39
74.99,64.51,81.18,84.04,4.59,53.12,10.65,4.0,55.66
77.95,79.26,86.58,100.0,8.05,98.85,14.95,6.0,62.89
86.18,70.65,84.28,85.64,8.11,44.98,9.98,5.0,55.49
66.76,52.62,71.57,74.99,4.54,20.64,3.94,3.0,44.13
75.91,76.45,76.94,82.99,7.77,85.52,15.29,5.0,59.82
74.43,60.74,74.27,82.41,6.62,69.52,11.8,4.0,49.0
72.28,58.98,73.77,81.78,6.26,44.4,12.49,4.0,50.35
82.76,73.38,81.45,88.45,7.32,81.99,14.61,6.0,58.6
82.64,72.05,94.67,86.11,7.06,80.58,15.44,6.0,56.12
81.16,73.82,83.56,90.41,7.02,96.47,10.65,7.0,56.48
68.32,58.34,71.48,84.81,6.36,48.53,8.83,4.0,47.71
78.85,70.53,78.5,83.94,6.44,70.75,11.01,5.0,54.54
81.59,73.6,77.68,89.84,7.09,100.0,17.68,6.0,56.91
83.0,79.52,85.73,88.91,7.63,83.6,16.58,6.0,65.93
75.39,68.75,77.68,84.12,5.98,53.55,14.25,5.0,54.22
60.66,66.48,77.28,84.0,7.41,68.05,12.88,5.0,52.77
71.56,60.24,71.33,73.56,5.2,37.93,6.97,3.0,47.04
56.88,56.8,68.91,78.1,4.29,77.88,8.69,5.0,43.27
81.57,78.3,80.04,84.91,8.37,74.89,15.0,6.0,61.34
82.83,79.19,91.46,89.61,8.26,76.25,13.81,7.0,60.8
69.14,55.62,86.48,84.33,6.74,46.38,10.86,6.0,48.61
90.6,78.09,87.6,91.21,9.29,91.51,14.52,8.0,65.85
77.01,79.92,83.61,81.41,7.22,78.43,16.94,6.0,64.76
71.86,67.53,77.93,84.35,6.26,42.86,5.07,4.0,51.06
79.03,77.54,77.63,88.46,6.29,74.07,15.98,7.0,61.65
92.13,90.42,98.35,90.41,8.47,60.44,14.37,8.0,64.14
76.05,69.11,80.54,77.63,7.24,62.24,8.6,5.0,47.91
83.92,85.28,98.26,92.81,7.43,90.26,19.53,7.0,71.93
57.2,40.25,57.42,66.5,3.82,46.31,5.9,0.0,43.22
81.03,75.37,93.44,89.38,7.87,60.77,17.48,7.0,66.83
69.31,73.05,83.75,83.07,6.94,42.13,14.18,5.0,53.93
71.25,72.34,79.97,74.18,7.27,42.08,16.05,6.0,51.31
84.03,69.17,81.62,83.0,7.18,41.33,13.62,6.0,52.85
62.19,47.28,64.1,70.85,5.6,50.24,5.66,4.0,36.25
72.35,66.86,83.15,85.22,5.74,79.93,12.16,4.0,54.54
77.54,75.61,83.24,83.35,7.34,70.16,16.06,7.0,63.89
87.76,75.9,83.22,99.58,8.64,100.0,14.56,7.0,63.24
81.3,52.01,71.64,73.24,5.32,54.24,8.88,5.0,48.84
70.56,58.25,73.19,84.39,6.59,46.45,8.83,3.0,52.93
73.55,57.76,77.48,80.09,8.06,47.48,5.44,5.0,47.29
89.18,75.28,86.64,92.93,7.88,69.08,15.08,5.0,68.05
80.1,71.44,87.34,86.29,7.6,41.71,8.46,6.0,60.61
69.99,61.48,68.22,85.38,6.23,56.02,10.54,5.0,49.33
79.68,81.56,84.42,85.53,6.85,67.09,15.62,6.0,58.32
76.53,71.65,73.46,80.19,5.46,72.64,11.15,5.0,55.34
84.54,80.01,90.3,95.49,7.4,75.93,18.93,7.0,63.77
73.17,65.39,74.36,79.33,4.84,47.03,6.39,4.0,44.41
73.3,59.88,79.22,82.92,7.77,42.02,13.88,5.0,56.97
75.99,70.58,73.6,86.59,6.24,55.2,12.44,5.0,57.48
62.44,54.34,74.14,71.09,4.77,49.12,3.49,6.0,42.86
79.04,75.37,86.39,88.16,7.87,47.29,19.39,7.0,57.21
68.76,65.97,84.29,83.21,6.22,65.23,12.63,7.0,50.24
80.44,60.97,79.52,83.5,6.19,63.57,9.91,6.0,53.1
75.55,70.97,80.56,82.88,6.57,45.71,7.92,5.0,50.43
68.05,57.16,66.56,69.51,5.92,29.95,7.23,1.0,42.78
58.31,60.21,80.27,78.36,6.7,57.15,10.43,4.0,52.18
82.94,61.14,84.03,87.35,6.59,37.86,11.22,4.0,55.99
68.11,67.03,78.27,82.73,5.9,53.21,8.88,3.0,54.5
79.87,61.24,75.87,82.78,6.93,44.15,13.04,4.0,50.09
74.64,81.48,84.48,87.4,7.45,82.0,12.28,4.0,57.81
95.92,82.71,88.97,94.14,8.24,100.0,13.01,8.0,67.54
72.51,74.02,83.6,90.47,7.05,49.71,12.17,6.0,57.07
75.32,69.8,83.73,84.74,6.25,71.88,7.09,7.0,57.73
84.52,71.41,71.96,84.48,6.78,47.98,12.63,6.0,56.06
57.82,47.46,60.96,77.07,4.11,46.83,3.89,2.0,44.55
76.81,67.89,78.67,80.73,8.8,40.62,12.31,4.0,55.82
80.72,69.8,79.25,90.6,6.84,68.11,15.33,4.0,61.24
100.0,87.81,93.64,92.66,8.63,83.85,17.11,8.0,67.66
74.99,70.98,80.11,89.36,6.46,54.01,13.97,4.0,55.85
80.47,69.27,83.27,84.32,7.58,49.06,11.86,6.0,58.35
87.22,67.47,78.96,82.82,8.1,71.81,16.1,4.0,63.9
65.21,52.43,68.21,69.43,4.93,29.92,7.62,4.0,44.82
87.25,66.82,92.77,89.04,6.91,85.42,13.41,7.0,60.18
87.81,75.34,92.26,84.35,8.36,66.12,15.91,6.0,66.38
88.43,89.26,84.0,86.32,6.64,70.15,13.33,7.0,54.87
73.51,64.21,70.73,77.99,5.36,48.58,7.25,3.0,43.56
91.69,82.58,92.49,96.25,8.28,69.61,15.06,8.0,66.91
57.9,53.96,68.05,76.42,5.06,42.13,7.69,3.0,43.18
89.12,74.84,83.84,88.75,8.06,91.76,16.98,6.0,65.03
90.21,93.2,99.39,92.76,8.88,81.19,13.93,9.0,67.44
68.54,53.2,64.93,74.53,5.39,62.72,9.08,5.0,47.59
67.28,69.27,81.03,87.8,6.11,73.98,11.8,4.0,51.67
76.59,73.69,81.04,81.66,7.04,49.25,12.76,5.0,56.99
73.05,67.83,74.58,87.6,6.27,30.62,13.63,5.0,55.59
63.59,56.16,68.01,73.72,5.29,41.27,7.17,3.0,47.52
78.64,69.77,80.36,84.42,7.56,52.82,11.76,6.0,61.16
74.19,62.14,65.11,81.91,5.84,72.09,10.23,4.0,50.82
82.44,76.69,89.53,91.93,7.73,67.63,13.66,8.0,61.47
66.55,58.19,73.27,78.04,4.43,34.18,8.3,3.0,41.04
94.58,81.13,93.4,91.75,8.7,66.04,17.89,7.0,64.61
74.66,61.89,77.93,79.08,6.24,64.6,8.08,4.0,49.93
67.21,73.91,73.5,83.42,7.0,46.6,9.57,6.0,54.36
86.19,70.49,88.0,92.45,7.22,72.86,13.17,5.0,58.0
68.29,49.37,69.7,76.63,4.8,55.87,11.55,4.0,49.16
76.62,72.07,85.09,87.84,6.61,56.15,4.95,5.0,52.48
94.37,82.01,81.29,98.4,8.8,78.92,16.87,6.0,64.8
60.81,54.23,67.55,75.88,5.7,35.64,7.26,2.0,44.01
78.26,72.07,78.97,86.35,6.7,73.02,8.52,5.0,53.17
77.51,70.37,83.68,79.48,7.84,72.76,13.52,7.0,55.78
83.11,84.37,87.74,78.17,7.84,68.43,15.49,6.0,56.13
59.61,48.62,67.89,78.13,5.22,42.4,9.7,4.0,43.11
57.2,51.82,67.25,75.7,5.05,34.62,1.67,5.0,37.71
88.35,73.55,83.47,85.07,8.02,45.66,16.85,6.0,58.54
74.61,63.35,78.64,86.76,7.42,68.32,11.12,5.0,55.15
73.5,70.53,85.25,85.26,8.92,92.14,14.4,6.0,61.22
68.78,81.02,81.12,90.59,6.53,51.94,14.82,5.0,57.72
66.81,62.48,63.27,80.26,6.4,38.2,7.86,4.0,48.98
71.74,72.46,80.24,82.41,6.66,50.42,14.28,4.0,56.66
86.52,65.3,78.04,89.72,6.46,75.26,11.95,7.0,55.6
74.42,58.83,68.12,78.85,5.93,56.01,4.89,4.0,44.95
89.49,85.24,89.04,97.3,9.15,85.61,20.0,8.0,69.17
91.08,71.97,83.99,84.93,9.7,53.34,11.56,5.0,60.62
69.99,64.05,76.38,74.25,5.22,43.52,6.38,4.0,51.2
80.35,78.3,86.18,88.28,6.68,46.38,13.0,6.0,61.35
55.23,53.72,70.26,78.2,5.85,47.53,9.73,4.0,43.28
94.08,77.96,87.73,90.64,6.08,84.88,14.22,7.0,62.19
79.76,82.89,86.85,89.88,8.12,58.61,16.79,8.0,63.89
60.72,66.93,71.07,71.73,5.83,24.7,6.32,4.0,47.53
89.58,86.61,82.61,88.05,8.59,98.14,13.11,5.0,66.25
91.43,67.75,76.09,89.65,8.07,57.02,12.96,9.0,57.52
90.04,72.8,84.61,87.74,7.38,89.37,19.02,8.0,59.88
95.78,80.95,94.86,94.4,8.96,86.14,17.42,9.0,64.77
76.65,65.39,77.77,86.47,5.89,53.89,13.87,4.0,55.05
73.31,64.08,72.68,76.63,4.99,55.27,9.83,4.0,50.41
71.64,65.46,69.55,72.49,5.98,33.4,8.17,4.0,43.74
70.01,60.65,76.31,78.46,4.8,49.75,8.96,5.0,48.44
75.81,66.59,74.15,81.6,6.38,53.12,11.36,6.0,54.12
78.77,73.12,85.66,82.18,6.41,45.31,14.47,5.0,53.15
74.87,67.35,78.07,84.96,7.57,69.21,16.13,5.0,60.21
82.1,87.93,83.19,90.93,9.23,68.46,15.34,8.0,61.73
67.99,60.77,74.23,84.04,5.77,57.84,14.89,7.0,55.92
88.61,84.13,88.9,93.95,7.06,63.65,14.05,9.0,60.87
68.87,76.94,81.92,89.67,6.38,79.9,10.21,6.0,52.4
94.7,95.0,100.0,98.63,10.0,100.0,18.26,9.0,71.16
82.49,74.11,88.61,88.87,7.73,83.85,14.63,3.0,60.79
74.97,58.78,75.66,76.82,5.41,42.56,8.57,5.0,47.1
70.77,57.62,67.55,74.19,5.35,18.0,10.54,4.0,45.05
72.8,80.84,82.3,84.56,7.67,96.53,11.21,6.0,59.18
69.24,55.32,75.2,80.74,7.36,55.73,11.43,5.0,49.76
86.94,83.94,90.68,89.72,6.09,59.48,15.79,5.0,61.97
75.54,66.21,78.76,96.24,7.07,73.35,8.46,7.0,49.08
74.27,66.9,83.03,80.7,6.88,76.41,16.87,6.0,58.63
71.02,58.51,77.22,77.25,5.05,46.95,8.78,5.0,47.78
57.72,57.29,75.96,74.66,6.37,56.46,2.6,4.0,48.29
72.49,56.34,75.01,82.9,5.76,69.55,11.04,5.0,47.97
77.3,79.75,89.27,90.19,7.79,56.7,14.65,6.0,54.66
75.04,81.61,90.73,90.42,7.5,53.1,12.45,6.0,60.69
66.32,49.77,68.19,66.82,4.83,55.68,10.64,4.0,45.92
69.91,71.67,75.16,75.49,5.53,21.91,14.31,6.0,48.11
81.58,69.31,75.37,84.33,6.92,63.54,13.87,7.0,51.42
67.95,62.6,76.22,83.09,6.56,25.28,10.43,5.0,53.75
80.04,70.6,73.62,78.66,6.71,55.16,12.21,7.0,58.04
77.6,66.23,78.95,72.32,6.19,56.39,16.44,7.0,47.39
72.26,60.39,73.18,79.43,6.17,37.48,5.02,4.0,44.95
79.82,81.87,83.42,87.12,6.96,57.08,13.41,2.0,63.53
78.99,73.47,85.91,83.0,7.06,51.95,13.84,7.0,55.74
86.33,83.3,89.01,86.56,8.22,100.0,17.2,6.0,63.75
88.09,72.55,93.02,86.44,8.68,100.0,13.14,6.0,61.81
63.84,50.59,65.86,76.18,7.05,21.9,3.68,3.0,37.79
67.75,62.31,70.26,75.87,6.34,69.66,9.56,4.0,43.99
77.27,81.74,80.77,89.07,8.35,61.73,14.22,7.0,62.47
77.44,75.86,87.17,75.66,7.01,69.64,17.12,5.0,53.7
73.9,72.39,87.46,83.66,6.6,66.78,10.5,5.0,56.11
100.0,95.0,100.0,95.5,10.0,90.1,20.0,9.0,76.05
75.17,68.06,89.02,86.4,7.57,83.32,19.39,7.0,56.84
82.89,83.22,83.8,88.66,7.3,78.92,14.5,8.0,58.51
81.14,82.89,93.82,92.92,7.8,67.16,11.76,6.0,64.81
86.16,73.0,90.98,80.47,7.9,50.2,12.98,5.0,60.17
71.75,63.48,80.58,82.29,6.71,41.87,11.09,5.0,49.79
88.82,77.78,92.82,90.79,8.11,46.76,15.63,7.0,65.88
65.81,59.19,67.58,86.79,6.11,48.59,8.26,6.0,50.86
75.21,66.35,76.13,80.65,6.11,38.5,15.02,3.0,54.05
67.62,75.19,73.42,82.39,5.81,48.74,7.87,5.0,47.3
87.03,68.51,83.5,77.28,5.94,81.78,8.07,4.0,53.48
91.13,89.7,93.16,88.32,10.0,100.0,20.0,7.0,70.86
60.68,47.43,69.03,76.18,4.57,31.51,0.94,4.0,37.99
85.22,79.56,90.63,88.1,7.44,68.99,13.57,7.0,63.96
63.47,52.33,70.69,79.04,4.12,64.01,14.64,4.0,43.91
70.86,61.02,77.6,75.67,8.58,60.73,10.56,6.0,47.17
85.18,86.49,84.22,92.61,7.25,71.42,12.58,6.0,61.73
76.79,77.01,77.09,91.86,6.53,39.57,12.06,5.0,53.67
65.59,55.37,76.92,79.21,5.84,49.74,8.64,6.0,45.51
74.19,52.32,77.75,80.81,6.42,61.71,10.24,4.0,44.87
92.73,80.87,84.94,88.11,8.38,60.72,15.63,7.0,62.76
66.75,58.32,72.85,73.33,7.37,53.41,7.32,4.0,46.92
