exam_1,exam_2,exam_3,attendance_rate,engagement_score,group_work_score,revision_hours,quiz_score,final_pass_score
78.53,79.75,74.29,86.11,7.93,73.93,15.62,82.0,83.9
64.07,60.67,65.56,83.59,5.41,55.04,12.77,39.0,58.72
83.19,74.14,86.05,90.47,9.7,85.97,10.41,78.0,77.46
100.0,95.0,100.0,100.0,10.0,74.44,20.0,97.0,99.9
72.3,44.03,75.88,80.09,6.15,35.74,9.08,47.0,45.94
58.13,50.55,73.9,75.43,6.61,52.52,8.29,44.0,51.52
100.0,79.41,92.92,89.09,9.69,100.0,16.57,100.0,93.42
85.09,95.0,90.04,100.0,8.94,68.9,14.61,79.0,90.76
51.22,46.96,64.9,79.08,6.45,37.19,4.42,56.0,58.14
90.54,95.0,85.63,78.78,8.71,92.71,9.75,47.0,64.76
64.13,55.21,62.96,65.4,3.98,9.62,4.7,36.0,46.92
63.56,52.37,54.18,83.76,4.37,0.0,2.6,5.0,47.58
67.06,65.0,73.53,85.75,8.36,96.37,14.64,46.0,64.95
40.0,30.0,50.0,60.02,3.62,6.31,0.0,0.0,28.81
45.93,34.08,50.0,60.0,2.0,0.0,0.0,0.0,32.16
55.12,45.5,66.19,63.69,4.5,14.87,1.46,16.0,42.98
40.0,30.0,50.0,60.6,2.34,7.36,0.89,37.0,37.37
81.78,59.86,86.19,91.5,7.04,84.96,20.0,51.0,75.25
40.34,30.0,58.16,63.56,4.65,0.0,7.85,0.0,39.16
52.92,44.2,50.0,63.66,2.0,0.0,0.0,7.0,37.19
100.0,95.0,100.0,100.0,9.17,100.0,19.33,100.0,99.9
68.25,57.49,74.38,72.45,4.01,56.33,4.95,73.0,65.1
81.62,65.64,74.67,83.03,5.99,67.82,10.06,52.0,72.57
40.47,30.0,50.0,66.03,2.0,8.15,2.65,0.0,28.2
60.81,39.29,69.33,64.6,2.79,31.71,0.37,19.0,40.26
83.63,76.47,78.89,83.06,5.12,45.63,16.64,48.0,72.35
41.77,44.61,56.27,71.23,2.0,0.0,3.29,0.0,44.61
78.31,66.52,69.12,84.72,6.26,83.03,16.52,58.0,72.73
41.51,44.29,62.08,75.6,4.41,12.18,5.97,21.0,51.8
61.53,50.46,58.97,73.9,2.13,42.55,4.12,36.0,55.36
59.68,41.62,61.31,79.97,2.82,25.96,8.23,2.0,51.33
100.0,95.0,100.0,90.13,9.86,100.0,18.85,100.0,99.9
73.27,51.87,85.13,80.15,7.61,46.18,3.8,74.0,61.18
40.0,35.2,50.0,60.0,2.0,25.77,0.77,7.0,26.41
77.98,92.24,90.35,90.6,8.74,100.0,13.23,100.0,83.53
