exam_1,exam_2,exam_3,attendance_rate,engagement_score,group_work_score,revision_hours,quiz_score,final_pass_score
78,63,92,68,2.98,63,4.1,2,52.55
91,68,97,80,3.0,1,6.3,9,60.73
68,55,72,83,8.8,75,12.7,4,58.53
54,63,55,93,4.76,41,8.0,9,50.26
82,83,95,81,2.25,81,0.1,4,58.93
47,32,99,62,2.42,53,10.5,9,52.13
60,79,93,71,3.14,74,18.4,5,61.87
78,41,92,87,3.71,15,16.2,9,65.67
97,94,94,89,7.32,17,16.5,7,71.35
58,83,70,85,3.26,98,15.9,4,62.58
62,34,72,80,2.95,58,6.5,0,45.04
50,86,92,87,8.12,89,15.3,4,66.44
50,46,65,85,7.37,15,2.9,2,38.38
63,76,96,92,5.48,5,13.2,3,58.67
92,52,64,80,6.39,56,12.8,7,65.11
75,43,74,94,4.5,46,0.5,6,43.99
79,80,85,93,5.86,47,15.8,4,63.1
63,67,60,77,6.05,41,18.1,1,55.42
42,93,64,70,5.1,75,5.3,5,50.96
61,67,53,82,9.25,59,16.2,5,59.38
92,79,70,81,2.13,76,1.6,9,63.36
41,59,62,76,8.26,3,12.0,9,52.7
63,80,71,64,3.0,1,9.7,5,51.73
83,92,68,70,8.38,89,10.9,8,66.65
69,81,83,89,6.93,58,18.5,7,68.05
77,67,63,74,8.75,26,17.4,7,67.01
41,59,53,86,2.78,26,15.7,0,42.18
99,80,97,94,6.47,78,5.5,4,64.27
60,34,95,92,6.01,71,18.2,6,62.93
72,58,76,79,7.65,6,2.0,5,47.16
51,33,78,75,6.27,62,17.1,4,49.37
97,39,96,93,6.33,45,6.6,7,58.62
61,85,77,61,5.44,62,1.1,2,47.7
83,46,84,94,4.47,11,13.4,5,55.65
64,46,57,99,5.86,12,4.6,4,47.46
88,63,65,87,2.95,42,4.9,7,53.39
66,35,91,98,9.69,16,6.1,3,53.48
98,82,85,65,7.72,62,1.3,7,64.22
81,72,79,68,9.62,80,3.5,9,60.16
67,52,67,79,3.81,35,0.1,1,43.41
99,84,51,60,9.03,84,8.9,8,65.97
55,45,98,67,8.47,7,1.7,8,45.4
54,37,62,82,7.42,68,13.7,9,55.73
86,33,53,62,7.0,89,4.7,9,50.48
90,33,75,63,4.53,79,18.9,5,61.03
83,85,74,84,8.53,35,17.4,3,61.72
94,54,79,97,6.01,27,5.8,3,50.59
91,56,60,74,2.57,92,15.7,5,57.35
96,61,56,80,4.5,46,16.1,4,54.31
42,79,80,94,9.48,75,19.7,5,66.39
76,90,93,73,8.81,29,12.0,6,62.46
90,80,59,95,9.86,22,1.6,6,57.61
46,48,88,71,7.02,15,12.9,8,58.45
60,50,62,76,3.98,13,12.5,7,52.98
48,34,80,98,3.3,73,12.8,5,52.56
78,71,56,68,3.5,70,6.1,5,50.82
57,90,98,94,2.16,51,17.2,4,63.74
43,51,91,72,5.13,36,19.2,0,51.49
64,50,91,74,3.53,28,4.4,8,48.91
99,30,85,77,5.29,66,1.8,8,57.73
53,34,69,92,9.48,14,3.9,8,45.63
89,41,53,65,5.44,99,16.4,7,59.08
97,75,56,86,9.02,46,13.5,9,62.94
48,63,50,82,6.84,45,12.7,2,52.94
65,78,93,86,3.98,51,8.0,0,55.23
92,74,94,93,4.85,18,11.6,7,60.24
41,56,91,97,2.67,76,6.2,6,52.4
59,55,96,73,4.67,20,9.5,4,49.79
67,76,62,95,7.42,63,15.9,9,62.88
86,85,71,67,2.58,36,19.6,6,62.59
99,92,70,94,3.64,26,18.6,9,67.55
46,77,71,78,5.05,54,18.7,3,57.26
83,90,77,89,9.86,28,8.0,8,67.83
47,55,58,73,8.28,19,9.4,9,51.97
86,65,75,79,7.87,24,14.1,1,55.71
74,30,58,84,2.93,69,18.4,8,57.09
53,37,64,99,8.25,62,2.8,8,52.82
56,81,59,83,8.28,35,6.1,4,52.83
75,76,73,73,6.81,1,2.8,0,42.5
