student_id,score_percentage,hard_question_accuracy,hint_usage_percentage,avg_confidence,answer_changes_rate,tab_switches_rate,avg_time_per_question,review_percentage,avg_first_action_latency,clicks_per_question,performance_trend,mastery_level,mastery_level_name
STU0001,68.54,57.35,51.57,3.83,0.1,0.19,91.98,25.57,60.0,2.49,-0.12,2,proficient
STU0002,40.03,34.82,0.0,2.46,0.0,0.0,48.04,0.0,48.87,1.0,-0.24,1,developing
STU0003,55.83,24.91,18.64,3.24,0.0,0.18,6.68,0.0,0.5,1.66,-0.01,1,developing
STU0004,22.5,26.29,0.0,3.19,0.0,0.0,18.3,6.01,28.62,1.0,-0.29,0,at_risk
STU0005,10.03,0.0,9.17,3.46,0.16,0.0,11.3,3.05,8.68,1.3,0.2,0,at_risk
STU0006,81.41,59.38,28.84,3.42,0.26,0.19,31.57,0.0,12.54,1.94,0.34,2,proficient
STU0007,51.69,58.13,35.96,2.86,0.13,0.85,34.22,39.91,0.5,2.83,-0.03,1,developing
STU0008,44.97,37.42,0.0,3.13,0.12,0.72,9.64,0.0,10.08,1.0,-0.09,1,developing
STU0009,38.14,37.1,27.09,3.51,0.0,0.0,1.0,0.0,0.5,1.13,-0.09,1,developing
STU0010,46.88,16.15,20.33,3.0,0.0,0.0,47.73,39.07,40.52,1.75,-0.09,1,developing
STU0011,0.0,0.0,19.25,3.99,0.1,0.0,1.0,0.0,0.5,1.41,0.12,0,at_risk
STU0012,26.89,39.58,0.0,3.38,0.42,0.0,1.0,14.31,0.5,1.0,-0.18,0,at_risk
STU0013,22.36,20.79,0.0,3.75,0.0,0.0,37.36,0.0,42.56,1.0,-0.52,0,at_risk
STU0014,59.3,54.27,52.21,2.61,0.0,0.35,54.74,7.56,40.97,1.53,-0.07,2,proficient
STU0015,62.51,42.48,87.56,3.3,0.0,0.38,1.0,21.16,0.5,2.31,0.25,2,proficient
STU0016,66.05,69.64,84.08,3.01,0.0,0.0,1.0,2.98,0.5,2.33,0.21,2,proficient
STU0017,54.21,67.56,16.82,4.34,0.24,0.06,1.0,15.39,0.5,2.12,0.09,1,developing
STU0018,51.67,29.66,0.0,3.03,0.21,0.25,1.0,9.82,0.5,1.0,-0.1,1,developing
STU0019,55.55,28.97,43.81,3.38,0.28,0.59,1.0,0.0,0.5,2.22,0.16,2,proficient
STU0020,100.0,100.0,84.07,3.95,0.25,0.85,106.01,0.0,60.0,2.74,0.07,2,proficient
STU0021,100.0,84.36,69.68,2.69,0.02,0.83,81.01,0.0,50.91,2.26,-0.13,2,proficient
STU0022,60.24,51.91,11.55,4.13,0.23,0.0,19.23,0.0,23.55,1.04,-0.11,1,developing
STU0023,68.78,73.03,0.0,3.13,0.0,0.07,113.32,9.31,60.0,1.37,0.34,3,advanced
STU0024,84.41,51.91,26.66,3.84,0.02,0.4,70.88,0.0,59.45,1.0,-0.39,2,proficient
STU0025,46.35,18.19,79.2,2.43,0.01,0.08,99.48,0.0,60.0,1.83,-0.27,2,proficient
STU0026,67.51,61.51,14.04,3.27,0.03,0.31,64.36,33.28,44.54,2.47,-0.5,2,proficient
STU0027,49.33,49.4,34.51,2.86,0.04,0.02,4.36,19.96,0.5,1.6,0.11,1,developing
STU0028,62.93,66.39,46.71,2.81,0.0,0.55,66.85,6.57,49.95,2.25,-0.21,2,proficient
STU0029,70.03,57.85,27.0,3.7,0.25,0.65,87.37,16.0,60.0,1.98,-0.01,2,proficient
STU0030,49.97,42.48,45.39,2.76,0.4,0.0,1.0,37.2,0.5,2.78,0.17,1,developing
STU0031,53.46,30.67,34.38,2.86,0.24,0.14,1.0,6.28,0.5,1.66,-0.24,1,developing
STU0032,61.04,55.78,15.24,3.01,0.11,0.0,1.0,0.0,0.5,1.2,0.29,1,developing
STU0033,79.23,67.66,34.54,2.83,0.07,0.22,62.21,0.0,54.2,1.91,-0.07,2,proficient
STU0034,65.73,67.28,17.8,3.32,0.09,0.36,1.0,4.3,0.5,1.96,0.17,2,proficient
STU0035,100.0,96.51,70.41,3.44,0.47,0.36,19.47,5.99,0.5,2.78,-0.06,2,proficient
STU0036,58.28,54.52,83.46,3.49,0.04,0.0,41.43,0.0,34.19,2.32,-0.08,2,proficient
STU0037,3.09,15.13,10.84,3.5,0.0,0.0,1.0,0.49,0.5,1.08,-0.4,0,at_risk
